|  id|   xcenter|   ycenter|aperture_sum_0|aperture_sum_err_0| aperture_sum_1|aperture_sum_err_1|residual_aperture_sum|
|long|    double|    double|        double|            double|         double|            double|               double|
|    |       pix|       pix|              |                  |               |                  |                     |
|null|      null|      null|          null|              null|           null|              null|                 null|
    1 165.817001 290.996002  86.2453832017      1.67511727204   104.062694884      2.41905469142         84.3151886753 
    2 382.912994  58.875999  226.336597588      4.06463403496   612.760162986      6.74439100722         224.406403062 
    3 913.508972  28.245001  85.7353365116      1.87790456548   90.5887342643      1.65779685818         83.8051419853 
    4 932.661987     50.757  610.031702564      10.8000280696   1093.73371854      12.2616482015         608.101508037 
    5 501.412994  57.442001  9474.56210291      195.185932586   1115.14332798      15.3053024453         9472.63190838 
    6 319.796997      13.63  236.644456852      4.27250811335   461.314462839      5.10423210734         234.714262325 
    7    301.431      6.767  256.110697792      4.81172722982   319.537019585      3.73058452999         254.180503266 
    8 987.448975  23.905001  729.256963946      12.9178922439   1435.10645172      16.1218316002          727.32676942 
    9 422.341003  17.518999  115.353362876      2.28413867725   20.5115096816       1.1944376453         113.423168349 
   10 511.863007     14.934  229.955942281      4.63014075711  -9.20028937667      1.27649313263         228.025747754 
   11 400.260986  38.692001  317.687643146      6.21065241995    269.55194626      3.17984310743          315.75744862 
   12 388.869995     12.205  80.5089344896      1.57986947944   140.290396773      2.07298040932         78.5787399632 
   13      7.894      9.874   124.88911442      2.36893109813   76.0841290736      1.59888118183         122.958919894 
   14 908.734985      4.503  193.025134049      3.65450396893   137.735717242      2.25719368263         191.094939523 
   15 727.018005      5.768  192.706971869      3.58382782681   108.166795879      2.29030022213         190.776777342 
   16 433.649994      3.683   274.16215167       5.6325732696   5.62608741358      1.19332046842         272.231957143 
   17 196.813995 952.414978  50.1880751843      1.20168870269  -10.1676612092      1.25974542203         48.2578806579 
   18  611.72998 997.578003  84.3329753615      2.10810584273  -12.0345710665     0.815984816458         82.4027808351 
   19 311.919006 947.151978  877.477754552      18.5460132957    21.109390298       1.4926864206         875.547560025 
   20 831.166016 943.843018  2198.75498257      45.6802770726    274.81675994       3.9665728815         2196.82478804 
